2026-06-15 09:59:01.560 -05:00 [INF] === Iniciando Mozo API === {"MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 09:59:06.131 -05:00 [INF] ==> GET / | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ea9e7f82b4812f2a6dfbd7aeba1da3f4-eb0e16fd0a45880b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50D:00000001","RequestPath":"/","ConnectionId":"0HNMATQIFG50D","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:55.944 -05:00 [INF] <== OPTIONS /seguridad/modulo | Status: 204 | Duración: 12ms | Usuario: Anonymous | TraceId: 00-62e15974e780b5b4196c250ba43dd4df-617a55a853a7fcc4-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:0000000D","RequestPath":"/seguridad/modulo","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:55.958 -05:00 [INF] ==> GET /seguridad/modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-90d3e89f013fe0655f255d664eb6a22d-e438cc7eedbecca5-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:0000000F","RequestPath":"/seguridad/modulo","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:56.043 -05:00 [INF] <== GET /seguridad/modulo | Status: 200 | Duración: 85ms | Usuario: Anonymous | TraceId: 00-90d3e89f013fe0655f255d664eb6a22d-e438cc7eedbecca5-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:0000000F","RequestPath":"/seguridad/modulo","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:56.431 -05:00 [INF] ==> OPTIONS /seguridad/modulo/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-b829df929577cc14d934236c96df94de-70602bfab528b333-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000001","RequestPath":"/seguridad/modulo/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:56.445 -05:00 [INF] <== OPTIONS /seguridad/modulo/active | Status: 204 | Duración: 13ms | Usuario: Anonymous | TraceId: 00-b829df929577cc14d934236c96df94de-70602bfab528b333-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000001","RequestPath":"/seguridad/modulo/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:56.463 -05:00 [INF] ==> GET /seguridad/modulo/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-cfdcb923391fa45996b6305bbd2a208a-e240a1a2141b857a-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000003","RequestPath":"/seguridad/modulo/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:56.483 -05:00 [INF] <== GET /seguridad/modulo/active | Status: 200 | Duración: 19ms | Usuario: Anonymous | TraceId: 00-cfdcb923391fa45996b6305bbd2a208a-e240a1a2141b857a-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000003","RequestPath":"/seguridad/modulo/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:57.421 -05:00 [INF] ==> GET /seguridad/modulo/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-be6272fe9806d9da95737ca3f4c665e3-2493f4cf0c1066f3-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000005","RequestPath":"/seguridad/modulo/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:57.444 -05:00 [INF] <== GET /seguridad/modulo/active | Status: 200 | Duración: 23ms | Usuario: Anonymous | TraceId: 00-be6272fe9806d9da95737ca3f4c665e3-2493f4cf0c1066f3-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000005","RequestPath":"/seguridad/modulo/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.121 -05:00 [INF] ==> OPTIONS /maestro/documento-identidad/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-72370d47c333bed062b115ad7ba62be5-4d4db8824102698f-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000007","RequestPath":"/maestro/documento-identidad/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.122 -05:00 [INF] ==> OPTIONS /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-268e5425019a15397f52cefc7cc7bbd7-dcb8c07d8116697a-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000000B","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.155 -05:00 [INF] ==> OPTIONS /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-25f746e7d270464b80b0e304df5cf799-00f294261bf4a9ce-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000000D","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.121 -05:00 [INF] ==> OPTIONS /maestro/pais/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-b2bd276d982cb5021243def872f04f41-4a70534fe4e133dc-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000009","RequestPath":"/maestro/pais/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.160 -05:00 [INF] ==> OPTIONS /seguridad/empresa | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-a45650981d0805f950da6ee6f78790e6-ec780933fce1da23-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000000F","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.180 -05:00 [INF] <== OPTIONS /maestro/documento-identidad/active | Status: 204 | Duración: 58ms | Usuario: Anonymous | TraceId: 00-72370d47c333bed062b115ad7ba62be5-4d4db8824102698f-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000007","RequestPath":"/maestro/documento-identidad/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.191 -05:00 [INF] <== OPTIONS /maestro/tipo-general/active | Status: 204 | Duración: 69ms | Usuario: Anonymous | TraceId: 00-268e5425019a15397f52cefc7cc7bbd7-dcb8c07d8116697a-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000000B","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.197 -05:00 [INF] <== OPTIONS /maestro/tipo-general/active | Status: 204 | Duración: 42ms | Usuario: Anonymous | TraceId: 00-25f746e7d270464b80b0e304df5cf799-00f294261bf4a9ce-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000000D","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.201 -05:00 [INF] <== OPTIONS /maestro/pais/active | Status: 204 | Duración: 80ms | Usuario: Anonymous | TraceId: 00-b2bd276d982cb5021243def872f04f41-4a70534fe4e133dc-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000009","RequestPath":"/maestro/pais/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.212 -05:00 [INF] ==> GET /maestro/documento-identidad/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-6b41d0d4c98fb6d239a19b059e1b1250-4b4ccc5255557c24-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000011","RequestPath":"/maestro/documento-identidad/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.217 -05:00 [INF] ==> GET /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ddc2bd9e85c9df80d2e94d8290dc6bb6-78fc6d4d804a32ee-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000013","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.206 -05:00 [INF] <== OPTIONS /seguridad/empresa | Status: 204 | Duración: 49ms | Usuario: Anonymous | TraceId: 00-a45650981d0805f950da6ee6f78790e6-ec780933fce1da23-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000000F","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.247 -05:00 [INF] ==> GET /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-2c3ba71cf30903fcbe4233597b91205b-3bda7ba7331ff0ab-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000015","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.251 -05:00 [INF] ==> GET /maestro/pais/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-38b9686561248daaa218c178aa9ed5b9-68cf0da147994f47-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000017","RequestPath":"/maestro/pais/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.274 -05:00 [INF] ==> GET /seguridad/empresa | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-a4dfe5be8c9456476ed14947c3ba02a6-598171aae8105717-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000019","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.292 -05:00 [INF] <== GET /maestro/documento-identidad/active | Status: 200 | Duración: 79ms | Usuario: Anonymous | TraceId: 00-6b41d0d4c98fb6d239a19b059e1b1250-4b4ccc5255557c24-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000011","RequestPath":"/maestro/documento-identidad/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.333 -05:00 [INF] <== GET /maestro/tipo-general/active | Status: 200 | Duración: 86ms | Usuario: Anonymous | TraceId: 00-2c3ba71cf30903fcbe4233597b91205b-3bda7ba7331ff0ab-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000015","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.333 -05:00 [INF] <== GET /maestro/tipo-general/active | Status: 200 | Duración: 116ms | Usuario: Anonymous | TraceId: 00-ddc2bd9e85c9df80d2e94d8290dc6bb6-78fc6d4d804a32ee-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000013","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.359 -05:00 [INF] <== GET /maestro/pais/active | Status: 200 | Duración: 108ms | Usuario: Anonymous | TraceId: 00-38b9686561248daaa218c178aa9ed5b9-68cf0da147994f47-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000017","RequestPath":"/maestro/pais/active","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.371 -05:00 [INF] <== GET /seguridad/empresa | Status: 200 | Duración: 96ms | Usuario: Anonymous | TraceId: 00-a4dfe5be8c9456476ed14947c3ba02a6-598171aae8105717-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000019","RequestPath":"/seguridad/empresa","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.409 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-03fa023e5761b531ea8e9cac47ae3b19-4e448037681efa73-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000001B","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.414 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-a0972a52d86500c4c378621eff2436b6-2f9b638d62fee1e0-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:0000002B","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.410 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-5b89ebe50c305d0cf4d9bcbcc3873032-095dd48ece6f23f3-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000025","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.410 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-a933a42a55023d7d763fe34a53aa6587-7a56d87512b9ed94-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000023","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:58.413 -05:00 [INF] ==> OPTIONS /seguridad/empresa-modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-80190efdd8af5aa5bef827f574ae1807-32c127d7b291acb3-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50F:00000027","RequestPath":"/seguridad/empresa-modulo","ConnectionId":"0HNMATQIFG50F","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
